8th Cross, V V Mohalla, Mysore  [Sept 13, 1997]  
A bAlagOpalamu (varNa)  [amrtavarSiNi] L
A daya shrI  [Ahiri] L
A Gopala Adhitama  [Madhyamāvati]  
A Gunagana Dhama From Drama Savitri  [Hamsadhvāni]  
A kAlam adi antE  [kAmavardhini] L
A Neethu Mahima  [Hamsadhvāni]  
A Neeve Nanu Paripalimpa  [Kāṁbhōji]  
A Sam Vishtho Mani Vishtho Slokam  [Mōhanaṁ]  
A samayamunakEmi  [sAranga] L
Aadamodi Galade  [Charukesi,cArukEshi,chArukEsi] L
Aananda natamaaduvaar  [Pūrvīkaḷyāṇi,pUrvi kalyANi,poorvikalyANi,poorvikalyani] L
AandavanE  [shanmukapriyA,Ṣanmukhapriya]  
Aaniraimekkani  [Rāgamālika,kAnaDA,ragamalika]  
ab mai (bhajan)  []  
ab tO bairAgin (tappa)  [khammAj] L
ab tO jaisE (bhajan)  []  
ab tO mErE (bhajan)  []  
ab tO prakaT bhayi  [Kāmavardani]  
Abadh sukhdAyi  [bhairav] L
abbabbarAma  [Dhanyāsi]  
abdul bahAi vAzhgavE  [behAg] L
abhaya karam  [sahAnA] L
abhaya karattai  [behAg] L
abhaya karattai pArta pOdE  [behAg] L
abhayam aLittennai ANDaruL  [tODi] L
abhayAmbA jagadambA  [kalyANi] L
abhayAmbA nAyaka harisAyaka  [Anandabhairavi] L
abhayAmba nAyaka varadAyaka  [kEdAragauLa] L
abhayAmbAyAm bhaktim karOmi  [shahAna] L
abhayAmbikA ramaNi  [shankarAbharaNa,shankarAbharaNam] L
abhayAmbikAyAha anyam na jAnE  [kEdAragauLa] L
abhayAmbikAyai ashvArUDhAyai  [yadukula] L
abhayamiyya AlasyamEla  [kAtyAyanI] L
abhayamu  [Ahiri]  
abhayavaradE SAradE  [Hindolam,Hindōḷaṁ]  
abheeshTa varada  [hamsadwani] L
abhimAna  [Bēgaḍa,bEgaDA]  
abhimanamennaDu  [begada]  
abhimAnamennaDu galgu rAma  [bEgaDa,vivardhani] L
abhimAnamu lEdimi  [andhali] L
AbhimAnavEke  [kEdAragauLa] L
abhirAmam ahkila bhuvana  [bhUSAvati] L
AcAra vivahAram avaravar  [bEgaDa] L
AcAravillada  [kAmbhOji] L
AcAriyarembavara  [mukhAri] L
accamillAk-kavi piccuvayyar  [shankarAbharaNa] L
accup-pOTTa puttakangaL  [tODi] L
AcyutAnanta gOvinda hari  [madhyamAvati] L
acyutAnanta gOvindanemba  [mOhana] L
Ada hOdalle  [suraTi] L
ADa hOgalu  [kAmavardhani] L
ADa hOgONa  [behAg] L
aDaDA nara manidAun ANava  [aThANA] L
Adaddella oLide  [kAmavardhani] L
ADAdu ashangAdu vA  [madyamAvati] L
ADAdu ashangAdu vA kaNNA  [madhyamAvati] L
aDaikkalam aDaikkalam  [madyamAvati] L
aDaikkalam enrunnai  [sarasvati] L
aDaikkalam enrunnai aDaiyum  [dharmavati] L
aDaindEn unnai anbuDan  [dEvamanOhari] L
aDaiyalAm aruLai  [sAma] L
aDakki ALavENDum  [kharaharapriyA] L
ADalai pADuvOm  [rAgamAlika]  
ADamODi  [chArukEsi]  
AdanooriLoru  [jinjooTi]  
Adarikka vENum ayyanE ArumukhanE  [sAmA,sAvEri] L
adarindEnu bala  [nAdanAmakriya] L
AdarittaruL murugA  [shubhapantuvarALi] L
Adarittu aNaiyumayyA  [gauLipantu] L
Adarittu aruLvAi pEdai  [khamAs,suraTi] L
adaTTi uruTTi vazhi koNarndAL  [aThANA] L
ADavAra mella gUDi  [yadukula kAmbhOji] L
adbhutanAm bAlakanAm ambujEkSaNam  [nATakuranji] L
AdenammA  [paras]  
AdhAramAna paramAtma  [sAvEri] L
Adi antam illa  [jyOtiswarUpini] L
ADi ashaindu varuginrAn kaNNan  [AbhOgi,shrIranjani] L
Adi bhagavan aruLai  [nItimati] L
adi kAdu bhajana  [yadukula kAmbhOji] L
Adi kristu uNmai kaNDa  [kApi] L
Adi madhyAnta rahitE  [kAtyAyani] L
Adi nAyakanaip-pADum  [kalyANi] L
adi nIpai marulu (jAvali)  [yamunA kalyANi] L
ADi pADi dinam  [rAgamAlikA] L
Adi parAshakti  [nATa] L
Adi pashupati Agi azhivilA  [unknown] L
Adi purIshwaram  [Arabi] L
Adi shankararin mEdai  [kApi] L
Adi varAhana  [kAmbhOji] L
ADi varum azhaginai  [RAgamAlikA] L
adi vyAdihara  [AbhOgi] L
AdidanO ranga  [Arabhi,pUrvikalyANi] L
AdidanOkuLiya  [pUrvi] L
ADiDum muruganai  [kIravANi] L
aDigi sukamu  [madyamAvati] L
aDigi sukhamu levva ranubhavinchrirA  [Madhyamāvati]  
ADikkoNDAr anda  [mAyamALava gowLa] L
aDimai ennai  [mukhAri] L
aDimai mEl  [nATa] L
aDimaiyin uLLa (kaNNigaL)  [vasantA] L
aDimaraliNaiyallAl  [pharaju] L
aDimuDi kANAda deivattin mEl Eri  [husEni] L
ADina aravinda  [rAgamAlika] L
ADina maTTukkum adaDA ungaL  [mOhana] L
Adinamunci pogaDi pogaDi  [Anandabhairavi] L
ADinAn nartanam ADinAn  [nATa] L
ADinAn viLaiyADinAn ainkaran  [sAmA] L
ADinaya kaNNA  [mOhana kalyANi,mOhanakalyANi] L
ADip-pADi aruLai nADi  [rasikapriyA] L
Adip-paramporuLin  [AbhOgi]  
AdipurIshvaram sadA bhajEham  [Arabhi] L
Adisu nI  [dhanyAsi] L
aDittAlum unai  [nATa] L
Adityam  [mAyamALava gowLa] L
adivO alladivO  [madyamAvati] L
ADiya pAdA  [sarasAngi] L
ADiya pAdattai  [kAmavardhini] L
ADiya sEvaDi  [hamsadhvani] L
AdiyAna vEda sAramE  [kEdAra] L
aDiyAr kaDaittEra  [behAg] L
aDiyAr paDum iDar  [karnATakadEvagAndhAri] L
aDiyArin iDar  [bhairavi] L
aDiyEn unnaruLai  [pUrvikalyANi] L
aDiyEnai maTTum  [tODi] L
aDiyEnum uDanE  [bahudAri] L
aDiyOraik-kaDaittETri  [bilahari] L
adu nI enrarivAi  [suraTi] L
ADugirAn ennuL  [mAND] L
aDugu dATi  [mOhanam] L
aDugu varamula  [Arabi] L
ADum ayyan  [shuddhasAvEri] L
ADum cidambaramO  [behAg] L
ADum deivam  [kAmbhOji] L
ADum mayilODu  [behAg] L
Adum perumAnE  [tODi] L
ADum varai avar ADaTTum  [husEni] L
ADupAmbE  [Puṇṇāgavarāḷi]  
aduviduvenAmal  [unknown] L
aduvO iduvO ena nI  [unknown] L
AduvOm vArungaL  [kEdAra] L
ADuvOmE paLLu pADuvOmE  [dEsh] L
aduvum solluvAL  [sowrAshTram] L
AgalAgali rangayya  [kAmavardhani] L
AgalE kAyabEkO  [sAvEri] L
agali sairisalAradI  [bhairavi] L
Agama rAjagOpAla akhilANDa  [kEdAra] L
agaNita mahimAdbhuta lIla  [gauLa,gowLa] L
agaramumAgi (Tiruppugazh)  [sindu bhairavi]  
agasteeswaram  [lalitA]  
agastIshvaram ArAdhayEham  [lalitA] L
agattiyar tarum tamizhai  [khamAs] L
agha vaDivAgi saha vaDivAgi  [unknown] L
agnAni kalakooDE  [Nāṭakurinji,nATakurunji]  
ahaha naiva jAnE  [yamunAkalyANi] L
ahankArat-timir varamE  [unknown] L
ahO citta  [shankarAbharaNa] L
Aikkiyam AvOmE  [aThANA] L
aindu bhUtam aindan  [unknown] L
aindu kOsa kOTTai  [sarasvati] L
AIR Chennai  [9-9-2002]  
AIR National Program  [1982]  
aisi lAgi lagan (bhajan)  []  
aiyA nin  [bilahari] L
aiyan tiruvaDiyai  [pUrvikalyANi] L
aiyappanai paNivOm  [Arabhi] L
aiyyanE  [Kāṁbhōji,kAmbOji,sAvEri]  
Aj AyE  [yamankalyAN] L
Aj mOrE ghar (bhajan)  []  
Aj unInde calE AyE  [Swaati TirunaaL] L
AjA giridhar  [sindhubhairavi] L
ajam haram  [nIlAmbari] L
ajnAnat-tirai  [unknown] L
ajnAnigaLa kUDe  [mOhana] L
akaTakaTa nissAra  [kAmbhOji] L
AkaTi vELala  [cakravAkam,rEvati] L
akhila dEvanuta  [mEgharanjani] L
akhilam ellAm  [simhEndramadhyam] L
akhilANDa nAyaki  [madyamAvati,shankarAbharaNa] L
akhilANDeshvari durusuga  [karnATakakApi] L
akhilANDEshvari rakSamAm  [jujAvanti] L
akhilANDEshvari rakSatu  [shuddhasAveri] L
AkhilANDeshvaryai namastE  [Arabhi] L
akhilAndEswari  [Dvijāvanti,dvijAvanti,dwijAvanti,karnATaka kApi,shri] L
akhiyAn hari (bhajan)  []  
akka ettaNa  [Anandabhairavi] L
akka nandagOpana  [mOhana] L
Akkap-poruttavarkku  [kAmbhOji] L
akshayalingavobhO  [sankArabaraNam,sankarAbaraNam,sankarabharanam,shankarAbharaNa,Śankarābharaṇaṁ] L
Ala vENDum enrAl  [kEdAragauLa] L
alai pAyudE  [kAnaDA] L
alai pAyudE kaNNA en manam  [kAnaDa] L
alaivAip-pazham udirum shOlai  [mOhana] L
alaivEnO nAn ulaga  [kAmavardhini] L
alaiyAdE pEi nenjamE  [bEgaDa] L
alaiyAmal pArumayyA  [bhairavi] L
alakalallADaga  [Madhyamāvati]  
alakalla  [madyAmavati,madyamAvati] L
ALalAgAdA  [hATakAmbari] L
AlamAmarattu  [viruttam]  
alamanagha (j)  [rItigauLa] L
alamElu manga nI  [bhairavi] L
alankAra gOpikai tALam pODa  [aThANA] L
Alapana  [Amṛtavarṣiṇi,Bhairavi,Bēgaḍa,Hindōḷaṁ,Kāmavardani,Kāṁbhōji,Kēdāragauḷa,Latāngi,Madhyamāvati,Puṇṇāgavarāḷi,Pūrvīkaḷyāṇi,Sahānā,Sāvēri,Varāḷi,sAveri  (Incomplete),tODi (incomplete),Śankarābharaṇaṁ,Śrīranjani,Ṣanmukhapriya]  
Alapana & tanam  [mOhanam (incomplete),sAvEri]  
alaru kuriyaga  [shankarAbharaNam] L
alarulu  [sankarAbaraNam]  
alasara paritApam  [suraTi] L
Alathur Brothers dhyAnamE  [Dhanyāsi]  
ALAVa-dennALO (periya purANa kIrtanai)  [paraju,paras] L
aLavEdu eDuttu  [pUrNacandrikA] L
aLavilAda Anandam  [bhairavi] L
aLavillaiyE  [mukhAri] L
alaya viDudal  [tODi] L
ali maitO  [pUrvi] L
alivEni  [kurinji,kurunji,suruTi] L
aLivENi enduceyvu (mp)  [kurinji] L
allakallOla  [sowrAshTram] L
allal ellAm vilagi  [navanIta] L
aLLi aLippAn  [rItigauLa] L
aLLi aLLi nalla  [mOhana] L
aLLi aLLittarum  [bEgaDa] L
aLLI aNaindAlum  [nIlAmbari] L
alli malarndadammA  [vasantA] L
alli nODalu rAma  [khamAs] L
allik-kENikkarai tEDi vandoru  [kharaharapriyA] L
aLLudE manamidai aDiyuDan kollai  [suraTi] L
allum paghalum  [nAdanAmakriyA] L
AlOla tulasi  [shankarAbharaNam] L
aLuvudyAtako ranga  [dEshyatODi] L
am kaN mA jnyAlattu  [yamunAkalyANi]  
amabaramE  [kalyANi]  
amalE amarargaL (bhajan)  [kuntalavarALi] L
amarAnada vAriyE  [nATa] L
amarikapari (gItam)  [nATTai]  
amarndavanai ninanindAl  [rAgamAlikA] L
amAya karuNA  [pUrvi kalyANi] L
amba alankAri  [Bēgaḍa,bEgaDa] L
Amba Kamakshi  [Bhairavi]  
ambA mahAvANi  [saraswati manOhari] L
amba mAmava  [rAgamAlikA] L
ambA manam  [kAmavardhini] L
ambA manam kanindu  [Sivakavi]  
